,cat1,cat2,cat3,brand_name
127327,VIN,Antique,Furniture,Others
127358,WOM,Tops & Blouses,Blouse,Burberry Brit
127366,VIN,Accessories,Keychain,tokidoki
127616,HAN,Dolls and Miniatures,Art Doll,Others
127835,ELE,Cell Phones & Accessories,"Cases, Covers & Skins",M
128158,WOM,Tops & Blouses,Other,Adidas
128177,WOM,Athletic Apparel,Tracksuits & Sweats,Wildfox Couture
128198,MEN,Athletic Apparel,Socks,PUMA
128244,WOM,Women's Handbags,Totes & Shoppers,Madewell
128308,WOM,Skirts,Bubble,Others
128536,WOM,Coats & Jackets,Jean Jacket,Free People
128596,WOM,Sweaters,Crewneck,Chanel
128646,MEN,Sweaters,Other,Bape
129140,MEN,Tops,T-shirts,adidas Originals
129196,ELE,Computers & Tablets,iPad,HP
129245,WOM,Women's Accessories,Sunglasses,Fendi
129342,WOM,Skirts,Mini,Madewell
129646,WOM,Swimwear,One-Piece,Adidas
129837,VIN,Electronics,Radio,Sony
129941,WOM,Athletic Apparel,"Skirts, Skorts & Dresses",Adidas
129979,WOM,Sweaters,Cardigan,Madewell
130094,HOM,Home Décor,Other,Rae Dunn
130270,WOM,Sweaters,Hooded,patagonia
130287,ELE,Video Games & Consoles,Consoles,Apple
130478,WOM,Other,Other,Burberry
130735,WOM,Tops & Blouses,"Tank, Cami",The North Face
130849,WOM,Women's Handbags,Backpack Style,Louis Vuitton
131037,WOM,Women's Accessories,Watches,Tory Burch
131038,MEN,Athletic Apparel,Tracksuits & Sweats,Air Jordan
131140,WOM,Dresses,Full-Length,Michael Kors
131176,WOM,Skirts,Other,Ted Baker London
131275,MEN,Tops,T-shirts,Lululemon
131370,MEN,Athletic Apparel,Pants,patagonia
131451,WOM,Coats & Jackets,Peacoat,patagonia
132122,KID,Toys,Baby & Toddler Toys,Spin Master
132228,HOM,Cleaning Supplies,Brushes,Others
132239,WOM,Sweaters,Hooded,Oakley
132371,HAN,Dolls and Miniatures,Child Friendly,Others
132463,WOM,Women's Handbags,Cosmetic Bags,Dooney & Bourke
132565,WOM,Tops & Blouses,Blouse,Dolce & Gabbana
132631,HOM,Kitchen & Dining,Bakeware,M
133102,WOM,Sweaters,V-Neck,Madewell
133175,HAN,Books and Zines,Book,Others
133253,WOM,Skirts,A-Line,Free People
133350,HAN,Weddings,Other,Others
133360,WOM,Dresses,Other,Lilly Pulitzer
133490,BEA,Fragrance,Women,Burberry
133657,ELE,"Car Audio, Video & GPS",Car Video,Sony
133802,KID,Girls (4+),Accessories,The North Face
133843,WOM,Coats & Jackets,Trench,Burberry
133915,WOM,Dresses,"Above Knee, Mini",Ted Baker London
134051,HOM,Kitchen & Dining,Dining & Entertaining,Kate Spade
134261,HAN,Geekery,Jewelry,Others
134285,ELE,Cameras & Photography,Other,Others
134304,HOM,Home Décor,Home Décor Accents,Swarovski
134428,WOM,Women's Accessories,Scarves & Wraps,Tory Burch
134452,OTH,Musical instruments,Brass Instruments,Others
134511,WOM,Other,Other,UGG Australia
134564,WOM,Other,Other,The North Face
134730,WOM,Swimwear,Two-Piece,MARC BY MARC JACOBS
134927,NOI,no_info,no_info,Burberry
135199,ELE,Cell Phones & Accessories,Cell Phones & Smartphones,Beats
135290,KID,Girls (4+),Shoes,Michael Kors
135428,SPO,Apparel,Boys,ASICS
135455,KID,Boys 2T-5T,Shoes,UGG Australia
135613,WOM,Athletic Apparel,Socks,Gymshark
135694,OTH,Daily & Travel items,Baby & Child Care,Medela
135777,ELE,"Car Audio, Video & GPS",Car Video,Others
135897,WOM,Women's Accessories,Hats,Henri Bendel
135964,MEN,Athletic Apparel,Shorts,lululemon athletica
136185,MEN,Sweaters,Full Zip,Air Jordan
136368,MEN,Men's Accessories,Wallets,Fossil
136387,KID,Safety,Safety Caps,Others
136671,WOM,Shoes,Pumps,Kate Spade
136950,MEN,Tops,T-shirts,Versace
137055,MEN,Pants,Casual Pants,Lululemon
137283,MEN,Pants,Casual Pants,Adidas
137296,WOM,Women's Handbags,Totes & Shoppers,Prada
137327,WOM,Women's Handbags,Shoulder Bag,Cartier
137340,MEN,Tops,Button-Front,Timberland
137451,SPO,Apparel,Accessories,Fitbit
137880,WOM,Shoes,Sandals,Dr. Martens
137910,WOM,Shoes,Pumps,Prada
138037,WOM,Women's Handbags,Totes & Shoppers,MARC BY MARC JACOBS
138098,KID,Feeding,Bottle-Feeding,All
138261,VIN,Jewelry,Bracelet,PANDORA
138271,MEN,Sweaters,Turtleneck,Others
138567,WOM,Shoes,Other,Coach
139056,WOM,Sweaters,Cardigan,Customized & Personalized
139159,HOM,Home Décor,Fireplaces & Accessories,Others
139631,NOI,no_info,no_info,LF
139741,WOM,Dresses,Knee-Length,Fossil
139957,MEN,Shoes,Boots,Gucci
140070,WOM,Sweaters,Scoop Neck,Coach
140146,OTH,Office supplies,Presentation,Others
140225,KID,Nursery,Furniture,Others
140287,SPO,Apparel,Accessories,Adidas
140310,WOM,Shoes,Pumps,UGG
140335,HOM,Home Décor,Window Treatments,Pottery Barn Kids
140437,WOM,Shoes,Outdoor,Chaco
140767,ELE,Video Games & Consoles,Replacement Parts & Tools,Microsoft
140832,WOM,Women's Accessories,Other,Kendra Scott
140924,HOM,Storage & Organization,Kitchen Storage & Organization,Others
140943,HAN,Accessories,Pin,Supreme
140964,KID,Boys (4+),Top & T-shirts,Jordan
141057,WOM,Women's Accessories,Other,Cole Haan
141097,MEN,Shoes,Boots,UGG
141110,MEN,Sweats & Hoodies,Hoodie,Nintendo
141405,MEN,Tops,Dress Shirts,True Religion Brand Jeans
141500,WOM,Women's Accessories,Belts,Tory Burch
141508,WOM,Women's Accessories,Hair Accessories,David's Bridal
141598,WOM,Athletic Apparel,"Pants, Tights, Leggings",Burton
141819,WOM,Dresses,"Above Knee, Mini",Versace
142081,WOM,Women's Handbags,Totes & Shoppers,L.L. Bean
142304,WOM,Coats & Jackets,Trench,Lululemon
142458,WOM,Shoes,Loafers & Slip-Ons,Tory Burch
142602,MEN,Men's Accessories,Hats,Jordan
142655,WOM,Other,Other,True Religion Brand Jeans
142763,VIN,Accessories,Apron,Others
142809,MEN,Pants,Corduroys,Others
142893,BEA,Skin Care,Body,Georgio Armani
143183,BEA,Fragrance,Women,Michael Kors
143203,WOM,Dresses,Knee-Length,Madewell
143249,HAN,Toys,Doll Clothes,Others
143416,WOM,Tops & Blouses,Other,True Religion Brand Jeans
143523,WOM,Underwear,Panties,Lululemon
143529,MEN,Shoes,Loafers & Slip-Ons,Birkenstock
144268,WOM,Tops & Blouses,T-Shirts,Justin
144318,WOM,Women's Handbags,Shoulder Bag,Supreme
144432,SPO,Fan Shop,NBA,Jordan
144438,WOM,Jeans,Boot Cut,True Religion
144449,HOM,Storage & Organization,Jewelry Boxes & Organizers,Versace
144516,WOM,Women's Accessories,Hats,True Religion Brand Jeans
144574,HAN,Dolls and Miniatures,Human Figure Doll,Others
144711,WOM,Pants,Other,Kate Spade
144861,WOM,Women's Accessories,Hats,Kate Spade
144953,WOM,Women's Accessories,Scarves & Wraps,LuLaRoe
144978,WOM,Sweaters,"Vest, Sleeveless",Independent
145735,MEN,Sweaters,Crewneck,The North Face
145799,WOM,Pants,Dress Pants,Michael Kors
145878,ELE,Cell Phones & Accessories,Cell Phone Accessories,JBL
145880,WOM,Women's Accessories,Hair Accessories,adidas Originals
145951,MEN,Athletic Apparel,Jerseys,Supreme
145967,HOM,Kitchen & Dining,Kitchen & Table Linens,Pottery Barn
146028,WOM,Maternity,Suits & Blazers,Others
146118,NOI,no_info,no_info,Sony
146282,WOM,Sweaters,V-Neck,Wildfox Couture
146493,HAN,Glass,Beads,Others
146515,WOM,Swimwear,One-Piece,Tory Burch
146569,ELE,Cell Phones & Accessories,"Cases, Covers & Skins",kate spade new york
146837,WOM,Shoes,Flats,Dr. Martens
147248,ELE,Cameras & Photography,Camera & Photo Accessories,Logitech
147269,HOM,Furniture,Home Entertainment Furniture,Others
147309,WOM,Pants,"Capris, Cropped",Independent
147374,WOM,Dresses,Other,adidas Originals
147483,HAN,Dolls and Miniatures,Fantasy,Others
147501,MEN,Coats & Jackets,Trench,Bape
147514,WOM,Women's Handbags,Shoulder Bag,DIESEL
147917,WOM,Women's Handbags,Cosmetic Bags,MARC BY MARC JACOBS
147944,MEN,Men's Accessories,Hats,A Bathing Ape
148431,WOM,Other,Other,ASICS
148709,ELE,Computers & Tablets,Other,Microsoft
148750,VIN,Clothing,Corset,Others
148815,WOM,Jeans,Straight Leg,rag & bone
148991,WOM,Women's Handbags,Messenger & Crossbody,Cole Haan
149067,WOM,Dresses,"Above Knee, Mini",UNIF
149136,WOM,Tops & Blouses,Other,Independent
149279,HOM,Bath,Bath Linen Sets,Others
149322,SPO,Golf,Golf Shoes,PUMA
149769,WOM,Coats & Jackets,Poncho,Others
149902,WOM,Shoes,Other,Vince Camuto
149957,MEN,Sweats & Hoodies,"Sweatshirt, Pullover",Supreme
149963,VIN,Jewelry,Ring,David Yurman
150084,VIN,Accessories,Eyewear,Prada
150198,WOM,Women's Handbags,Cosmetic Bags,Independent
150339,MEN,Blazers & Sport Coats,One Button,Others
150391,WOM,Jewelry,Bracelets,Gucci
150585,BEA,Fragrance,Men,Fendi
150699,WOM,Women's Handbags,Hobo,Gucci
150777,MEN,Sweats & Hoodies,Hoodie,Michael Kors
151334,WOM,Pants,Casual Pants,The North Face
151378,WOM,Jeans,"Capri, Cropped",Big Star
151393,MEN,Shoes,Slippers,Gucci
151500,WOM,Women's Accessories,Hair Accessories,Burberry Brit
151561,NOI,no_info,no_info,Free People
152221,HOM,Kitchen & Dining,Kitchen & Table Linens,Rae Dunn
152470,WOM,Other,Other,Dr. Martens
152742,WOM,Tops & Blouses,T-Shirts,MARC BY MARC JACOBS
152891,MEN,Jeans,Relaxed,Big Star
152936,WOM,Jewelry,Earrings,Vince Camuto
152998,MEN,Jeans,"Slim, Skinny",DIESEL
153276,WOM,Tops & Blouses,Polo Shirt,Wildfox Couture
153413,HAN,Needlecraft,Pillow,Others
153649,MEN,Shoes,Sandals,Chaco
153991,MEN,Shoes,Oxfords,Dr. Martens
154108,WOM,Shoes,Athletic,Lululemon
154158,WOM,Tops & Blouses,Blouse,Coach
154216,HOM,Seasonal Décor,Day of the Dead,Others
154568,WOM,Tops & Blouses,Button Down Shirt,Burberry Brit
154714,ELE,"TV, Audio & Surveillance",Home Audio,Apple
154817,MEN,Men's Accessories,Sunglasses,Tiffany & Co.
154997,WOM,Women's Handbags,Messenger & Crossbody,Miss Me
155246,WOM,Tops & Blouses,Knit Top,Michael Kors
155291,WOM,Coats & Jackets,Fleece Jacket,True Religion Brand Jeans
155596,MEN,Men's Accessories,Other,adidas Originals
155620,SPO,Team Sports,Badminton,Others
155622,NOI,no_info,no_info,Louis Vuitton
155704,HAN,Jewelry,Other,Swarovski
155725,WOM,Sweaters,Crewneck,patagonia
155790,KID,Girls (4+),Other,LuLaRoe
155934,WOM,Women's Handbags,Backpack Style,patagonia
156572,WOM,Tops & Blouses,T-Shirts,Gymshark
156980,WOM,Pants,Dress Pants,Free People
157031,WOM,Tops & Blouses,Blouse,rag & bone
157233,WOM,Sweaters,"Vest, Sleeveless",Lululemon
157424,MEN,Tops,Button-Front,DIESEL
157475,MEN,Jeans,Carpenter,Others
157736,MEN,Shoes,Sandals,Air Jordan
157747,WOM,Women's Accessories,Belts,Gucci
158015,WOM,Shoes,Boots,Gucci
158108,ELE,Cell Phones & Accessories,Chargers & Cradles,AmazonBasics
158291,VIN,Bags and Purses,Purse,Louis Vuitton
158469,HOM,Kitchen & Dining,Dining & Entertaining,M
158678,WOM,Women's Handbags,Satchel,Madewell
158777,HOM,Kitchen & Dining,Small Appliances,KitchenAid
158970,MEN,Men's Accessories,Other,patagonia
159201,WOM,Dresses,Other,Sherri Hill
159302,MEN,Shoes,Loafers & Slip-Ons,Versace
159677,KID,Safety,Kitchen Safety,Others
160049,WOM,Women's Handbags,Messenger & Crossbody,The North Face
160183,NOI,no_info,no_info,Dooney & Bourke
160392,WOM,Women's Handbags,Satchel,tokidoki
160624,MEN,Sweats & Hoodies,Track Jacket,Others
160626,WOM,Athletic Apparel,Sports Bras,patagonia
160652,WOM,Coats & Jackets,Raincoat,Burberry
160787,WOM,Shoes,Loafers & Slip-Ons,Gucci
160943,WOM,Swimwear,Two-Piece,Oakley
161003,MEN,Shorts,Casual Shorts,Burberry Brit
161156,HAN,Patterns,Knitting,Others
161183,WOM,Athletic Apparel,Shorts,L.L. Bean
161290,WOM,Jewelry,Bracelets,Fossil
161306,WOM,Shoes,Flats,PUMA
161505,MEN,Men's Accessories,"Backpacks, Bags & Briefcases",Lululemon
161637,BEA,Skin Care,Body,Christian Dior
161738,KID,Strollers,Lightweight,Others
161799,MEN,Tops,T-shirts,Chanel
161900,WOM,Maternity,Sweaters,Adidas
161940,ELE,Computers & Tablets,"Printers, Scanners & Supplies",Dell
162033,WOM,Dresses,Knee-Length,Lululemon
162104,MEN,Men's Accessories,"Backpacks, Bags & Briefcases",True Religion Brand Jeans
162154,WOM,Women's Handbags,Satchel,Lilly Pulitzer
162169,WOM,Shoes,Fashion Sneakers,Jeffery Campbell
162311,WOM,Jewelry,Rings,Madewell
162486,WOM,Jeans,"Slim, Skinny",Tory Burch
162645,VIN,Serving,Tray,Others
162706,NOI,no_info,no_info,Nikon
162725,WOM,Sweaters,Collared,patagonia
163244,HOM,Seasonal Décor,Other,Others
163291,VIN,Bags and Purses,Handbag,Fossil
163374,MEN,Tops,"Polo, Rugby",Prada
163858,ELE,Cameras & Photography,Camera & Photo Accessories,AmazonBasics
163977,WOM,Skirts,Pleated,Lululemon
164009,ELE,Cell Phones & Accessories,Headsets,Bose
164560,MEN,Sweaters,Crewneck,Customized & Personalized
164581,VIN,Bags and Purses,Handbag,Versace
164587,WOM,Tops & Blouses,Blouse,Wildfox Couture
164597,WOM,Shoes,Work & Safety,Ariat
164845,WOM,Shoes,Other,Jeffery Campbell
164995,WOM,Women's Handbags,Shoulder Bag,Christian Louboutin
165006,WOM,Pants,Other,Adidas
165024,WOM,Athletic Apparel,Shirts & Tops,Alo
165056,MEN,Jeans,Relaxed,Rock Revival
165133,MEN,Athletic Apparel,Shirts & Tops,Gymshark
165259,HAN,Weddings,Clothing,Others
165323,VIN,Book,Decorating,Others
165383,ELE,Cell Phones & Accessories,Chargers & Cradles,M
165474,WOM,Coats & Jackets,Other,Ted Baker London
165515,VIN,Bags and Purses,Luggage,Coach
165768,HOM,Seasonal Décor,Halloween,M
165893,WOM,Suits & Blazers,Other,LuLaRoe
165923,ELE,Cameras & Photography,Flashes & Flash Accessories,Nikon
165938,ELE,Computers & Tablets,iPad,Acer
166047,BEA,Bath & Body,Bath,SeneGence
166156,WOM,Tops & Blouses,Polo Shirt,Tory Burch
166228,WOM,Tops & Blouses,"Tank, Cami",Independent
166250,WOM,Sweaters,"Turtleneck, Mock",Madewell
166298,WOM,Tops & Blouses,Blouse,Ted Baker London
166356,HOM,Home Appliances,Garbage Disposals,Others
166433,WOM,Women's Accessories,Watches,Versace
166490,WOM,Women's Accessories,Scarves & Wraps,The North Face
166530,MEN,Pants,Dress - Flat Front,Gucci
166575,WOM,Shoes,Boots,Independent
166710,WOM,Coats & Jackets,Puffer,Vince Camuto
166773,MEN,Shorts,Other,patagonia
166890,SPO,Team Sports,Baseball & Softball,Adidas
166946,WOM,Tops & Blouses,Polo Shirt,Michael Kors
166957,WOM,Other,Other,Chanel
167161,SPO,Team Sports,Football,Wilson
167286,MEN,Shorts,Cargo,Oakley
167316,WOM,Women's Accessories,Wallets,Henri Bendel
167323,HAN,Toys,Plush,Others
167493,HAN,Ceramics and Pottery,Planters,Others
167565,WOM,Shoes,Pumps,Saint Laurent
167738,HOM,Bath,Bathroom Accessories,Pottery Barn
167789,WOM,Athletic Apparel,"Pants, Tights, Leggings",ASICS
168027,HAN,Children,Other,Others
168035,HOM,Kitchen & Dining,Kitchen Utensils & Gadgets,Magic Bullet
168065,VIN,Bags and Purses,Change Purse,Kate Spade
168190,WOM,Women's Accessories,Scarves & Wraps,Cartier
168266,MEN,Tops,Other,Adidas
168362,WOM,Coats & Jackets,Vest,True Religion Brand Jeans
168521,WOM,Athletic Apparel,Shorts,PUMA
168591,SPO,Apparel,Women,Burton
168745,WOM,Women's Accessories,Belts,Customized & Personalized
169502,VIN,Bags and Purses,Handbag,Lululemon
169658,MEN,Tops,"Polo, Rugby",Louis Vuitton
169908,WOM,Tops & Blouses,Knit Top,Madewell
169926,ELE,Cell Phones & Accessories,Chargers & Cradles,Microsoft
170358,NOI,no_info,no_info,Jordan
170493,WOM,Athletic Apparel,Tracksuits & Sweats,lululemon athletica
170581,WOM,Athletic Apparel,Shorts,Madewell
170734,MEN,Tops,T-shirts,Customized & Personalized
170824,VIN,Bags and Purses,Change Purse,Michael Kors
170869,WOM,Women's Handbags,Backpack Style,L.L. Bean
170871,WOM,Jeans,"Slim, Skinny",Lilly Pulitzer
170963,MEN,Shorts,Athletic,PUMA
171197,WOM,Other,Other,lululemon athletica
171361,MEN,Shoes,Athletic,A Bathing Ape
171751,KID,Boys (4+),Top & T-shirts,Adidas
171764,HOM,Home Décor,Candles & Holders,Lilly Pulitzer
172248,VIN,Accessories,Scarf,Others
172292,WOM,Coats & Jackets,Raincoat,Michael Kors
172577,WOM,Pants,Other,The North Face
172784,HOM,Bedding,Duvet Covers & Sets,Lilly Pulitzer
173196,WOM,Shoes,Fashion Sneakers,Yeezy
173301,MEN,Sweats & Hoodies,Track & Sweat Pants,True Religion
173352,WOM,Sweaters,V-Neck,Adidas
173425,ELE,Video Games & Consoles,Video Gaming Merchandise,Bandai
173469,WOM,Women's Accessories,Scarves & Wraps,Fossil
174300,MEN,Shoes,Boots,Frye
174408,WOM,Shoes,Fashion Sneakers,UNIF
174684,WOM,Athletic Apparel,Tracksuits & Sweats,True Religion
174722,BEA,Tools & Accessories,Mirrors,Chanel
174780,VIN,Toy,Doll,tokidoki
174881,WOM,Athletic Apparel,Shirts & Tops,Michael Kors
174926,WOM,Women's Accessories,Wallets,Cartier
175007,MEN,Tops,T-shirts,Louis Vuitton
175133,HOM,Bedding,Sheets & Pillowcases,Lilly Pulitzer
175194,WOM,Shoes,Boots,Jack Rogers
175292,WOM,Athletic Apparel,Jackets,Burberry
175298,ELE,Cameras & Photography,Lenses & Filters,Sony
175729,MEN,Coats & Jackets,Windbreaker,ASICS
175968,WOM,Skirts,Other,Lilly Pulitzer
176137,HOM,Bedding,Blankets & Throws,Pottery Barn Kids
176206,KID,Boys (4+),Shoes,Adidas
176302,HAN,Geekery,Toy,Others
176572,WOM,Women's Handbags,Backpack Style,MCM
176792,VIN,Accessories,Hat,Adidas
176971,BEA,Skin Care,Body,Chanel
177232,WOM,Women's Handbags,Satchel,Vince Camuto
177499,MEN,Tops,T-shirts,Salvatore Ferragamo
177693,WOM,Tops & Blouses,T-Shirts,Nintendo
177816,WOM,Women's Handbags,Cosmetic Bags,PUMA
177961,ELE,Cell Phones & Accessories,Cables & Adapters,Beats by Dr. Dre
178126,HAN,Quilts,Patch,Others
178472,WOM,Women's Handbags,Shoulder Bag,Frye
178501,HAN,Housewares,Office,Others
178599,WOM,Shoes,Other,Jordans
178655,WOM,Women's Handbags,Messenger & Crossbody,Frye
178661,WOM,Other,Other,HERMES
178757,WOM,Other,Other,Customized & Personalized
178793,WOM,Jewelry,Bracelets,kate spade new york
179221,WOM,Sweaters,Hooded,Burton
179327,WOM,Coats & Jackets,Vest,Customized & Personalized
179591,MEN,Men's Accessories,Hats,Salvatore Ferragamo
179933,KID,Safety,Gates & Doorways,Others
180397,WOM,Sweaters,Crewneck,Customized & Personalized
180420,HAN,Woodworking,Boxes,Others
180578,KID,Boys (4+),Shoes,Air Jordan
180639,MEN,Jeans,Relaxed,True Religion Brand Jeans
180745,WOM,Women's Handbags,Other,tokidoki
181122,MEN,Men's Accessories,Other,Customized & Personalized
181696,MEN,Shorts,"Carpenter, Utility",Others
181806,WOM,Shoes,Pumps,Gucci
182437,MEN,Athletic Apparel,Shorts,Supreme
182537,WOM,Women's Accessories,Scarves & Wraps,Saint Laurent
182608,MEN,Shoes,Sandals,Supreme
182903,HAN,Crochet,Afghan,Others
183059,WOM,Pants,Other,True Religion Brand Jeans
183128,MEN,Sweats & Hoodies,Track Jacket,True Religion Brand Jeans
183257,WOM,Pants,Other,Miss Me
183263,VIN,Clothing,Shirt,Customized & Personalized
183384,KID,Toys,Learning & Education,Apple
183468,MEN,Sweaters,Full Zip,Adidas
183772,WOM,Shoes,Other,Christian Louboutin
183887,HOM,Storage & Organization,Trash & Recycling,Others
183934,MEN,Athletic Apparel,Jackets,Lululemon
184985,WOM,Women's Handbags,Backpack Style,adidas Originals
185259,WOM,Coats & Jackets,Jean Jacket,LuLaRoe
185275,ELE,Cell Phones & Accessories,Chargers & Cradles,LG
185472,BEA,Fragrance,Women,Coach
185546,WOM,Women's Handbags,Messenger & Crossbody,Vince Camuto
185595,ELE,"TV, Audio & Surveillance",Gadgets,Samsung
185734,MEN,Men's Accessories,Sunglasses,Tom Ford
185970,WOM,Skirts,Mini,True Religion Brand Jeans
186113,WOM,Jeans,Straight Leg,LF
186333,MEN,Tops,"Polo, Rugby",True Religion
187112,WOM,Women's Handbags,Backpack Style,Justin
187311,WOM,Women's Accessories,Watches,LuLaRoe
187456,SPO,Fan Shop,NFL,PUMA
187932,WOM,Coats & Jackets,Puffer,Burberry Brit
188344,WOM,Jeans,Boot Cut,Free People
188496,WOM,Underwear,Panties,Free People
188663,MEN,Athletic Apparel,Jackets,DIESEL
188744,MEN,Sweaters,Turtleneck,patagonia
188757,HAN,Housewares,Pillows,Others
188831,WOM,Women's Accessories,Wallets,Customized & Personalized
189000,MEN,Sweaters,V-Neck,L.L. Bean
189022,KID,Boys 2T-5T,Shoes,Burberry
189042,VIN,Bags and Purses,Case,Chanel
189214,WOM,Shoes,Athletic,Customized & Personalized
189391,BEA,Makeup,Makeup Palettes,Chanel
189506,MEN,Sweaters,Crewneck,Jordan
189554,VIN,Toy,Doll,American Girl ®
189638,HOM,Home Décor,Photo Albums & Frames,Swarovski
189736,WOM,Shoes,Sandals,kate spade new york
189854,WOM,Women's Accessories,Watches,Rebecca Minkoff
190348,WOM,Suits & Blazers,Pant Suit,Free People
190547,MEN,Athletic Apparel,Shorts,PUMA
190728,MEN,Men's Accessories,Other,Kate Spade
190874,KID,Toys,Games,Sony
190948,VIN,Toy,Animal,Spin Master
190966,KID,Toys,Hobbies,Bandai
190972,VIN,Accessories,Eyewear,Gucci
191155,WOM,Sweaters,Full Zip,Lilly Pulitzer
191189,WOM,Jewelry,Necklaces,Fossil
191277,MEN,Tops,T-shirts,Yeezy
191392,WOM,Women's Accessories,Sunglasses,David's Bridal
191424,WOM,Dresses,"Above Knee, Mini",lululemon athletica
191740,HAN,Pets,Other,Others
191741,VIN,Accessories,Scarf,Burberry
192042,HOM,Seasonal Décor,Christmas,Pottery Barn
192111,WOM,Women's Accessories,Scarves & Wraps,Fendi
192271,WOM,Women's Accessories,Other,Ray-Ban
192279,HAN,Weddings,Men,Others
192319,WOM,Tops & Blouses,T-Shirts,Oakley
192363,SPO,Apparel,Accessories,Coach
192425,MEN,Swimwear,Swim Briefs,PUMA
192686,KID,Boys 2T-5T,Shoes,Timberland
192855,BEA,Makeup,Brushes & Applicators,Christian Dior
192952,WOM,Swimwear,Cover-Ups,Wildfox Couture
192977,WOM,Tops & Blouses,Tunic,Michael Kors
193129,WOM,Swimwear,Two-Piece,Michael Kors
194195,MEN,Jeans,"Baggy, Loose",Rock Revival
194315,KID,Feeding,Breastfeeding,All
194417,WOM,Women's Accessories,Other,Henri Bendel
194670,VIN,Bags and Purses,Clutch,Saint Laurent
194794,NOI,no_info,no_info,Spin Master
194886,MEN,Shorts,Casual Shorts,True Religion Brand Jeans
194918,ELE,"TV, Audio & Surveillance",Home Speakers & Subwoofers,Sony
194949,MEN,Men's Accessories,Other,Cartier
195414,MEN,Sweaters,Other,Michael Kors
195425,MEN,Men's Accessories,"Backpacks, Bags & Briefcases",patagonia
195500,WOM,Women's Handbags,Shoulder Bag,patagonia
195868,WOM,Tops & Blouses,Turtleneck,Madewell
196342,HOM,Kids' Home Store,Other,Others
196358,MEN,Jeans,Boot Cut,Big Star
196479,MEN,Coats & Jackets,Wool,L.L. Bean
196556,MEN,Coats & Jackets,Flight,Adidas
196756,VIN,Clothing,Sweater,Supreme
196826,WOM,Women's Accessories,Scarves & Wraps,Tiffany & Co.
196834,VIN,Accessories,Eyewear,Coach
196855,NOI,no_info,no_info,patagonia
196863,WOM,Jeans,Leggings,Lululemon
197092,WOM,Women's Handbags,Backpack Style,UNIF
197507,MEN,Men's Accessories,"Backpacks, Bags & Briefcases",adidas Originals
197603,WOM,Jewelry,Rings,David's Bridal
197695,KID,Gear,Playard Bedding,Others
197775,WOM,Shoes,Mules & Clogs,Free People
197903,ELE,Computers & Tablets,"Printers, Scanners & Supplies",LG
198085,WOM,Shoes,Pumps,Fossil
198134,MEN,Tops,Tank,Gucci
198382,SPO,Other,Other,Adidas
198461,WOM,Shoes,Slippers,Coach
199101,WOM,Athletic Apparel,"Skirts, Skorts & Dresses",Wilson
199251,WOM,Tops & Blouses,T-Shirts,Sherri Hill
199296,KID,Gear,Baby Seats,Bugaboo
199551,WOM,Shoes,Flats,Free People
199648,NOI,no_info,no_info,James Avery
200282,WOM,Women's Handbags,Messenger & Crossbody,MCM
200454,WOM,Sweaters,Hooded,Independent
200746,WOM,Tops & Blouses,Blouse,MARC BY MARC JACOBS
200797,ELE,"TV, Audio & Surveillance",Headphones,Microsoft
201005,MEN,Jeans,"Slim, Skinny",Burberry
201081,SPO,Golf,Men's Golf Clubs,Rawlings
201302,WOM,Sweaters,Other,LuLaRoe
201383,WOM,Shoes,Loafers & Slip-Ons,Dooney & Bourke
201422,SPO,Footwear,Women,Adidas
201461,WOM,Shoes,Fashion Sneakers,rag & bone
201489,WOM,Shoes,Athletic,Gucci
201552,WOM,Other,Other,Swarovski
202352,WOM,Coats & Jackets,Other,Adidas
202470,VIN,Antique,Other,Others
202662,WOM,Shoes,Sandals,Burberry
202798,VIN,Book,Instructional,Others
202867,WOM,Pants,Casual Pants,Lululemon
203139,ELE,Video Games & Consoles,Video Gaming Merchandise,Logitech
203208,KID,Boys 0-24 Mos,Shoes,UGG
203428,WOM,Shoes,Sandals,UGG
203623,WOM,Women's Handbags,Shoulder Bag,Lilly Pulitzer
203746,NOI,no_info,no_info,Bape
203827,WOM,Shoes,Sandals,Louis Vuitton
203845,WOM,Jeans,"Slim, Skinny",L.L. Bean
204496,VIN,Jewelry,Brooch,Stamped
204552,KID,Diapering,Changing Kits,Others
204683,VIN,Book,Science,Others
204691,SPO,Exercise,Fitness accessories,Jordan
204840,ELE,Cell Phones & Accessories,Cables & Adapters,Sony
204967,WOM,Coats & Jackets,Vest,Lilly Pulitzer
205033,WOM,Athletic Apparel,"Pants, Tights, Leggings",True Religion Brand Jeans
205101,HAN,Patterns,Crochet,Others
205484,HAN,Accessories,Case,Others
205512,MEN,Men's Accessories,Ties,Gucci
205579,WOM,Pants,Casual Pants,patagonia
206276,WOM,Women's Handbags,Backpack Style,Burton
206360,KID,Toys,Arts & Crafts,Casio
206540,WOM,Pants,Casual Pants,Adidas
206580,WOM,Shoes,Flats,rag & bone
206677,MEN,Sweats & Hoodies,Track & Sweat Suits,Fendi
207164,MEN,Jeans,Boot Cut,True Religion
207224,WOM,Skirts,Other,Miss Me
207261,ELE,"TV, Audio & Surveillance",Gadgets,Sony
207703,MEN,Men's Accessories,Wallets,Prada
208146,WOM,Tops & Blouses,Knit Top,Lululemon
208418,WOM,Shoes,Athletic,Yeezy
